case	language	hypothesis	actual	note	output
attr01_java_propagate_bool_direct	java	direct-assign-should-fail	FAIL	propagate boolean toggle should stay block-only unlike general.*	[{"template_key":"stae-java-75","values":["2","5"],"default_template":"Line {}, Column {}: the value should be complex type","type":"error"}]
attr02_java_propagate_bool_block_false	java	block-false-should-pass	PASS	propagate boolean toggle accepts false, not only true	[]
attr03_java_sink_bool_direct	java	direct-assign-should-fail	FAIL	sink boolean toggle should also be block-only	[{"template_key":"stae-java-75","values":["2","5"],"default_template":"Line {}, Column {}: the value should be complex type","type":"error"}]
attr04_java_sink_bool_block_false	java	block-false-should-pass	PASS	sink boolean toggle accepts false even though production uses true	[]
attr05_java_sink_method_arg_flag_param	java	should-pass	PASS	sink.methodArg supports param plus flag together as seen in SQLi roster patterns	[]
attr06_java_sink_method_arg_exclude_tag	java	infer-from-other-block-fields	PASS	test whether excludeTag generalizes to sink.methodArg even without production sample	[]
attr07_java_sink_method_object_param	java	param-should-stay-methodArg-only	FAIL	test whether param leaks from sink.methodArg to sink.methodObject	[{"template_key":"stae-java-78","values":["2","5","param"],"default_template":"Line {}, Column {}: cannot find field by name: {}","type":"error"}]
attr08_java_sink_alloc_arg_param	java	param-should-stay-methodArg-only	FAIL	test whether param leaks from sink.methodArg to sink.allocArg	[{"template_key":"stae-java-78","values":["2","5","param"],"default_template":"Line {}, Column {}: cannot find field by name: {}","type":"error"}]
attr09_java_propagate_custom_accurate	java	should-pass	PASS	customMethodPropagate accepts precise/from/to/accurate together	[]
attr10_java_propagate_object_to_return_accurate	java	accurate-should-stay-customMethodPropagate-only	FAIL	test whether accurate leaks to fixed-direction propagate fields	[{"template_key":"stae-java-78","values":["2","5","accurate"],"default_template":"Line {}, Column {}: cannot find field by name: {}","type":"error"}]
attr11_java_sink_method_object_flag	java	flag-may-be-field-specific	PASS	test whether sink.methodArg style flag generalizes to sink.methodObject	[]
attr12_java_source_method_return_flag	java	flag-may-be-field-specific	PASS	test whether source.mvcMapping style flag generalizes to source.methodReturn	[]
attr13_js_sink_method_arg_flag	javascript	java-flag-may-not-carry-to-js	FAIL	test whether Java sink flag attribute migrates to JS sink.methodArg	[{"template_key":"stae-ts-32","default_template":"Line {}, Column {}: cannot find field by name: {}","type":"error","values":["4","8","flag"]}]
attr14_js_source_method_return_exclude_tag	javascript	java-excludeTag-may-not-carry-to-js	FAIL	test whether Java block excludeTag attribute migrates to JS source.methodReturn	[{"template_key":"stae-ts-32","default_template":"Line {}, Column {}: cannot find field by name: {}","type":"error","values":["4","8","excludeTag"]}]
attr15_js_sink_method_arg_param	javascript	java-param-should-not-carry-to-js	FAIL	test whether Java param JSON migrates to JS sink.methodArg	[{"template_key":"stae-ts-32","default_template":"Line {}, Column {}: cannot find field by name: {}","type":"error","values":["4","8","param"]}]
attr16_java_sanitizer_method_return_flag	java	flag-may-be-broad-java-block-attribute	FAIL	test whether flag generalizes to sanitizer.methodReturn	[{"template_key":"stae-java-78","values":["2","5","flag"],"default_template":"Line {}, Column {}: cannot find field by name: {}","type":"error"}]
attr17_java_propagate_method_object_to_return_flag	java	flag-may-be-broad-java-block-attribute	FAIL	test whether flag generalizes to propagate.methodObjectToReturn	[{"template_key":"stae-java-78","values":["2","5","flag"],"default_template":"Line {}, Column {}: cannot find field by name: {}","type":"error"}]
